,Polling Firm,Commissioner,Date,Sample Size,Coalition of the Left,New Democracy,People’s Association / Golden Dawn,Movement for Change,Communist Party of Greece,The River,Independent Greeks,Union of Centrists,Popular Unity,Course of Freedom,Greek Solution,European Realistic Disobedience Front,Others
242,MRB,Star,2019-12-05,2000,27.6,41.5,3.0,8.7,6.2,,,,,,4.8,3.6,
243,Opinion Poll,,2019-11-28,1058,27.8,49.0,,6.4,6.2,,,,,,5.4,3.6,
244,Μetron Analysis,Το Βήμα,2019-11-20,1203,25.7,45.4,1.7,7.5,5.8,,,,,,5.1,4.6,
245,Pulse RC,ΣΚΑΪ,2019-11-20,1211,27.6,43.7,1.1,6.9,6.3,,,,,,4.6,4.0,
246,Palmos Analysis,GUE–NGL,2019-11-14,1013,27.4,40.6,3.9,6.4,6.8,,,0.7,,1.3,4.3,3.5,
247,Marc,Πρώτο ΘΕΜΑ,2019-10-31,1003,27.5,47.6,2.2,6.7,6.0,,,,,1.4,3.4,3.4,
248,Pulse RC,ΣΚΑΪ,2019-10-23,1103,28.5,44.0,1.5,7.0,5.5,,,,,,4.0,4.5,
249,Μetron Analysis,Το Βήμα,2019-09-18,1202,26.8,46.1,1.8,7.1,6.8,,,,,,3.9,4.4,
250,Pulse RC,ΣΚΑΪ,2019-09-18,1110,29.5,44.5,,7.0,5.0,,,,,,3.5,4.5,
251,MRB,Star,2019-09-16,1020,26.7,44.4,,7.8,5.9,,,,,,3.8,5.2,
252,Marc,Πρώτο ΘΕΜΑ,2019-09-05,1001,28.2,45.9,1.8,7.4,5.8,,,,,1.3,3.3,3.3,
253,Opinion Poll,,2019-09-04,1102,26.6,48.3,2.4,6.2,5.1,,,,,1.6,3.7,3.8,
254,Metron Analysis,,2019-07-05,1449,28.0,40.0,4.5,7.7,5.5,,,1.5,,,3.0,4.0,
255,Κάπα Research,ΕΘΝΟΣ,2019-07-05,1241,28.0,40.0,3.9,7.3,5.4,,,1.5,,1.5,3.1,3.4,
256,Marc,ANT1,2019-07-04,1412,27.5,38.9,3.6,7.0,5.5,,,1.2,,1.9,3.9,3.7,
257,MRB,Star,2019-07-04,1205,28.5,38.8,3.9,7.8,5.7,,,2.4,,1.7,3.4,4.1,
258,RASS,Action24,2019-07-04,1003,27.7,39.4,2.7,8.2,5.9,,,2.0,,1.8,3.2,3.0,
259,Metron Analysis,Alpha TV,2019-07-01,1207,29.2,38.6,4.0,7.5,5.2,,,2.0,,1.7,3.4,4.5,
260,Pulse RC,ΣΚΑΪ,2019-07-03,1206,30.3,38.9,4.3,7.6,5.4,,,1.6,,1.6,3.2,3.2,
261,Interview,Βεργίνα TV,2019-07-03,1005,25.1,35.7,4.3,7.2,5.3,,,1.7,,,4.0,2.4,
262,Public Issue,,2019-07-03,1003,27.0,42.5,3.5,8.0,5.5,,,2.0,,,3.0,3.0,
263,Alco,Open TV,2019-07-02,1000,27.8,38.9,4.1,8.0,4.9,,,1.6,,1.5,3.6,3.0,
264,Prorata,,2019-07-01,1000,26.5,39.5,3.6,7.0,5.5,,,,,,3.2,3.2,
265,RASS,in.gr,2019-06-27,1002,28.7,38.8,3.5,9.5,6.7,,,1.4,,,3.7,3.1,
266,MRB,Τα Νέα,2019-06-26,1014,29.0,37.9,3.8,8.1,5.0,,,2.3,,1.3,3.6,3.4,
267,Interview,Politik,2019-06-26,1005,28.5,39.1,4.6,7.3,5.2,,,1.7,,1.1,4.5,2.8,
268,Pulse RC,ΣΚΑΪ,2019-06-26,1504,29.4,38.9,4.4,7.2,5.5,,,1.7,,1.1,3.9,3.9,
269,Marc,ANT1,2019-06-23,1214,27.2,39.2,3.6,7.5,5.7,,,1.6,,1.7,3.6,3.9,
270,Prorata,Newpost,2019-06-20,1000,27.6,40.2,4.0,7.5,5.2,1.4,,1.1,,1.1,2.9,3.4,
271,Interview,Βεργίνα TV,2019-06-20,1000,22.4,34.2,3.2,6.0,4.8,,,1.5,,1.8,3.8,2.5,
272,Pulse RC,ΣΚΑΪ,2019-06-19,1221,29.6,37.8,5.8,8.5,6.9,,,2.3,,2.3,4.1,4.6,
273,Opinion Poll,,2019-06-19,1000,27.0,39.8,3.3,6.4,4.6,,,1.1,,2.3,3.6,4.1,
274,Metron Analysis,Το Βήμα,2019-06-19,1001,29.5,38.0,3.3,8.0,5.2,,,2.5,,,2.8,2.4,
275,Alco,,2019-06-19,1000,23.2,32.4,3.8,6.5,4.8,,,1.1,,1.8,3.0,3.5,
276,Marc,,2019-06-13,1115,28.7,40.1,4.1,8.3,5.7,,,1.2,,,3.5,,
277,Pulse RC,ΣΚΑΪ,2019-06-12,1356,28.8,37.9,5.6,7.3,6.2,,,1.1,,,3.4,4.0,
278,MRB,Star,2019-06-12,1003,28.0,37.0,5.4,7.3,6.0,,,2.1,,,3.0,4.0,
279,Metron Analysis,Alpha TV,2019-06-05,1201,29.6,39.8,4.7,7.8,4.8,,,,,,2.5,3.5,
280,Pulse RC,ΣΚΑΪ,2019-06-01,1358,26.7,36.4,5.3,8.6,5.9,1.6,,1.6,,1.6,4.3,3.0,
281,Palmos Analysis,,2019-05-23,1033,27.5,31.9,8.1,7.4,7.3,2.3,0.8,0.8,1.0,,4.0,,
282,Marc,,2019-05-23,1507,27.0,35.4,6.5,8.0,5.8,1.6,1.2,1.9,1.3,,2.5,,
283,RB,,2019-05-23,1001,25.0,32.2,6.7,7.5,6.7,2.7,1.6,2.8,,1.2,2.1,,
284,Pulse RC,ΣΚΑΪ,2019-05-22,1208,26.8,34.6,7.3,7.8,6.1,1.9,1.6,2.1,1.6,1.4,2.3,,
285,Κάπα Research,,2019-05-22,1004,27.8,31.7,7.9,7.2,6.0,2.7,2.0,1.9,1.4,1.1,3.3,,
286,Interview,,2019-05-22,1105,28.1,37.1,5.8,7.4,5.6,1.3,1.3,1.8,1.3,1.6,3.0,,
287,Innovation Metrisis,,2019-05-21,1029,25.6,34.6,7.8,9.3,7.6,1.9,,2.6,1.3,1.6,2.8,,
288,Metron Analysis,,2019-05-20,1433,27.1,35.5,5.9,6.6,5.6,2.0,1.3,2.8,,1.9,2.3,,
289,Prorata,,2019-05-18,1000,29.0,35.0,8.3,8.0,7.1,1.4,0.5,1.6,1.1,0.5,2.5,,
290,RASS,,2019-05-17,1003,26.3,36.0,7.3,9.9,7.6,,1.7,3.0,,,2.4,,
291,Alco,,2019-05-19,1000,27.0,34.3,6.5,6.5,5.7,2.2,1.8,3.0,2.1,1.3,2.9,,
292,Palmos Analysis,,2019-05-17,1027,29.2,33.7,6.4,6.1,7.2,2.5,0.5,1.6,1.0,0.7,4.0,,
293,Marc,,2019-05-16,1304,26.2,34.8,7.0,7.5,6.1,1.4,1.3,2.2,1.7,,2.9,,
294,Metron Analysis,Το Βήμα,2019-05-16,1001,29.4,37.7,5.3,7.7,4.8,1.5,0.9,1.7,1.2,1.5,2.1,,
295,MRB,,2019-05-16,1002,27.0,34.5,7.3,7.6,6.8,2.9,1.4,2.5,,,1.9,,
296,Interview,,2019-05-14,1000,26.0,35.0,7.0,8.0,7.0,1.0,1.0,2.0,1.0,1.0,3.0,,
297,Marc,,2019-05-14,1292,26.0,35.0,7.0,8.0,6.0,1.0,1.0,2.0,2.0,,3.0,,
298,Vox Pop Analysis,Documento,2019-05-08,1286,32.0,35.0,7.0,6.0,5.0,0.8,0.0,1.0,1.0,1.0,2.0,,
299,MRB,Star,2019-05-08,1139,27.0,35.0,7.0,8.0,7.0,2.0,1.0,2.0,,,2.0,,
300,MRB,Star,2019-05-08,1139,27.0,36.0,7.0,8.0,7.0,2.0,1.0,3.0,,,2.0,,
301,Alco,,2019-05-06,1000,26.0,34.0,7.0,7.0,6.0,,,3.0,3.0,,3.0,,
302,Pulse RC,ΣΚΑΪ,2019-04-20,1010,25.0,35.5,8.5,8.5,6.5,1.5,1.5,2.5,1.5,1.0,2.5,,
303,Interview,Βεργίνα TV,2019-04-17,1005,22.7,36.4,7.2,7.9,7.0,1.4,1.3,2.0,1.3,1.3,2.3,,
304,Interview,Βεργίνα TV,2019-04-17,1005,25.4,36.8,8.7,8.1,7.0,1.4,1.5,2.4,1.6,1.7,2.9,,
305,Metron Analysis,Alpha TV,2019-04-17,1200,25.6,35.0,5.9,8.5,7.5,2.1,1.2,2.6,1.3,1.3,2.3,,
306,Metron Analysis,Alpha TV,2019-04-17,1200,27.3,37.5,6.7,8.7,6.4,2.0,1.3,2.2,,,3.1,,
307,Opinion Poll,ΘΕΜΑ 104.6,2019-04-17,1204,21.8,40.6,6.7,7.1,6.3,1.7,0.4,2.3,1.6,1.3,2.3,,
308,MRB,Star,2019-04-03,1003,25.6,36.5,7.5,7.5,6.7,2.1,1.2,2.4,,,1.9,,
309,MRB,Star,2019-04-03,1003,27.4,37.3,7.3,7.6,7.2,1.6,1.2,2.4,,,2.7,,
310,Marc,Πρώτο ΘΕΜΑ,2019-04-01,1200,24.8,39.2,7.2,8.9,6.3,1.5,,2.0,,,2.0,,
311,Marc,Πρώτο ΘΕΜΑ,2019-04-01,1200,26.1,37.2,7.1,7.9,6.3,1.3,,3.1,1.1,1.1,3.1,,
312,RASS,in.gr,2019-03-28,1005,25.2,35.9,8.3,10.7,8.5,,1.7,3.2,,,2.0,,
313,Pulse RC,ΣΚΑΪ,2019-03-27,1452,25.0,37.0,8.0,8.0,7.0,2.0,2.0,2.0,,2.0,3.0,,
314,Alco,,2019-03-26,1000,24.0,33.0,9.0,7.0,7.0,,,2.0,3.0,,3.0,,
315,Pulse RC,,2019-03-20,1452,24.0,36.0,7.0,8.0,6.0,,,2.0,,,,,
316,Vox Pop Analysis,Documento,2019-03-20,1000,28.2,30.5,7.8,5.8,4.4,0.8,0.4,0.7,,,,,
317,Metron Analysis,Το Βήμα,2019-03-20,1204,26.0,36.8,7.5,7.4,6.2,1.5,1.4,1.8,1.7,,2.1,,
318,Pulse RC,ΣΚΑΪ,2019-02-26,1323,24.5,37.0,9.0,8.0,7.0,1.0,1.0,2.0,1.0,1.0,3.0,,
319,Alco,Open,2019-02-23,1000,25.0,32.8,7.3,5.7,7.0,1.8,1.9,3.7,3.6,,1.9,,
320,Public Issue,,2019-02-14,1002,24.5,39.0,7.5,8.5,7.5,1.0,1.0,2.5,,,3.0,,
321,Interview,Βεργίνα TV,2019-02-05,1000,24.7,36.7,7.5,6.1,6.5,1.4,1.7,2.8,1.6,1.5,3.3,,
322,Prorata,Η Εφημερίδα των Συντακτών,2019-02-04,1000,24.5,30.0,7.0,6.0,5.5,0.5,,1.5,0.5,1.0,2.5,,
323,Vox Pop Analysis,Documento,2019-02-02,1205,25.1,37.2,9.1,4.8,6.1,,1.3,2.7,1.5,,2.8,,
324,Metron Analysis,Το Βήμα,2019-01-29,7536,27.5,29.5,9.2,4.8,3.5,0.7,0.9,1.9,0.9,1.3,2.2,,
325,RASS,in.gr,2019-01-24,1004,25.2,36.6,8.6,10.3,8.4,,1.9,2.8,,,2.6,,
326,Pulse RC,ΣΚΑΪ,2019-01-22,1356,26.0,38.0,9.0,7.5,6.5,1.0,1.0,2.0,1.0,1.0,2.0,,
327,Marc,Πρώτο ΘΕΜΑ,2019-01-17,1002,26.9,37.3,7.5,7.5,6.9,2.2,1.7,2.7,1.4,,2.6,,
328,Opinion Poll,,2019-01-16,1000,22.0,42.5,5.8,5.1,5.5,1.0,0.5,2.0,1.7,2.0,2.9,,
329,Pulse RC,ΣΚΑΪ,2018-12-18,1354,26.0,38.0,8.0,8.0,7.0,1.5,1.5,2.0,,,2.0,,
330,Alco,Open,2018-12-10,1000,25.4,32.8,8.6,6.4,7.4,1.5,2.4,2.3,3.4,,2.4,,
331,MRB,real.gr,2018-12-06,2000,27.6,37.1,8.1,8.1,7.1,1.7,1.7,2.7,,,1.5,,
332,Κάπα Research,thebest.gr,2018-12-06,1004,25.7,31.7,9.5,8.1,7.4,1.9,2.8,2.9,1.6,,2.3,,
333,Palmos Analysis,TVXS,2018-11-23,1025,28.5,34.0,7.5,6.5,6.5,2.5,1.5,3.5,,,2.0,,
334,Metron Analysis,Τα Νέα,2018-11-21,1205,26.9,37.8,7.2,6.9,6.3,2.5,1.3,2.4,,,2.0,,
335,Pulse RC,ΣΚΑΪ,2018-11-20,1356,25.5,36.5,8.5,9.0,7.5,2.0,2.0,2.5,1.0,,2.0,,
336,Public Issue,,2018-11-16,1000,22.0,38.5,7.0,9.5,7.5,2.0,1.0,2.0,,,,,
337,Marc,Πρώτο ΘΕΜΑ,2018-10-24,1002,23.7,36.8,7.6,8.4,7.3,2.3,1.5,2.8,1.5,,2.2,,
338,Pulse RC,ΣΚΑΪ,2018-10-16,1355,25.0,38.0,9.0,8.5,7.5,2.0,2.0,2.0,1.0,,2.5,,
339,Palmos Analysis,TVXS,2018-09-21,1016,28.0,34.0,5.5,8.0,6.0,2.5,1.5,2.5,,,,,
340,Metron Analysis,Τα Νέα,2018-09-20,1000,25.2,36.9,6.0,8.1,6.7,2.3,1.3,3.2,1.6,1.6,1.4,,
341,MRB,Star,2018-09-19,1004,26.9,37.6,7.3,7.9,7.2,1.2,1.8,3.2,,,1.6,,
342,Alco,Kontra Channel,2018-09-19,1000,25.8,33.3,8.0,6.5,7.5,1.7,2.6,2.9,2.5,,1.5,,
343,Κάπα Research,ΕΘΝΟΣ,2018-09-18,1005,25.2,31.4,10.1,8.8,7.1,1.7,3.2,2.9,2.0,,1.9,,
344,Pulse RC,ΣΚΑΪ,2018-09-18,1354,26.0,38.0,9.0,8.0,7.0,2.0,2.0,2.5,1.0,,2.5,,
345,Marc,Πρώτο ΘΕΜΑ,2018-09-08,1000,23.2,36.4,8.4,7.8,7.3,1.8,1.4,3.1,1.7,,2.5,,
346,Κάπα Research,ΕΘΝΟΣ,2018-07-02,1004,23.4,30.6,11.4,9.1,7.5,,2.6,3.4,2.0,,2.8,,
347,MRB,Real,2018-06-29,2000,25.2,36.8,8.4,10.6,6.9,,2.1,3.4,,,1.3,,
348,Metron Analysis,Τα Νέα,2018-06-28,1000,22.6,36.7,8.0,9.9,6.8,,2.0,3.2,,1.6,2.8,,
349,Alco,Kontra Channel,2018-06-27,1000,23.6,32.6,7.5,7.4,8.6,,1.4,3.6,2.5,,2.2,,
350,Pulse RC,ΣΚΑΪ,2018-06-26,1323,24.5,39.0,8.5,8.5,7.0,,2.0,2.9,1.0,1.0,2.0,,
351,Marc,Πρώτο ΘΕΜΑ,2018-06-15,1000,20.0,37.8,9.0,9.3,7.9,,2.1,3.4,2.0,,2.1,,
352,RASS,Action 24,2018-05-31,1002,23.7,36.2,8.5,11.8,8.3,,3.0,3.4,,,,,
353,Alco,Kontra Channel,2018-05-20,1000,20.2,25.7,7.0,6.4,6.0,,1.8,2.3,2.1,,1.6,,
354,Pulse RC,ΣΚΑΪ,2018-05-15,1341,25.0,37.0,9.0,9.0,7.0,,2.5,2.5,1.0,1.0,1.5,,
355,Public Issue,,2018-05-07,1003,20.0,39.0,8.5,11.0,6.5,,1.5,3.5,,,,,
356,Metron Analysis,Τα Νέα,2018-04-21,1000,23.3,36.3,7.1,9.0,6.7,,2.5,3.3,1.5,2.3,1.6,,
357,Pulse RC,ΣΚΑΪ,2018-04-17,1356,24.5,36.0,9.0,10.5,7.5,,2.5,2.5,,,1.5,,
358,Alco,Ραδιόφωνο 24/7,2018-04-16,1000,24.5,31.4,8.8,7.9,6.3,,2.6,2.6,3.7,1.9,,,
359,Palmos Analysis,TVXS,2018-04-15,1009,25.5,32.5,7.5,9.5,8.5,,2.5,3.0,,,,,
360,Κάπα Research,ΕΘΝΟΣ,2018-04-03,8000,22.6,28.4,10.3,10.3,8.3,,3.3,3.0,2.0,1.8,2.2,,
361,Marc,Πρώτο ΘΕΜΑ,2018-03-23,1000,22.7,35.3,8.9,9.8,7.8,,2.1,3.2,2.1,1.3,1.3,,
362,Pulse RC,ΣΚΑΪ,2018-03-13,1304,24.5,36.0,9.0,10.0,7.0,,2.5,2.5,,1.0,1.0,,
363,RASS,Πρώτο Θέμα,2018-03-08,1002,23.4,35.8,8.8,12.4,7.7,,3.0,3.3,,,,,
364,Pulse RC,Δημοκρατία,2018-03-03,1207,25.0,35.5,9.5,9.5,7.0,,2.5,2.5,1.0,2.5,1.0,,
365,Opinion Poll,Παρασκήνιο,2018-03-03,1000,25.6,38.7,7.0,9.1,7.1,,1.2,2.9,2.6,,,,
366,Alco,ΕΘΝΟΣ,2018-02-24,1000,24.7,32.0,10.3,9.3,7.5,,3.0,2.7,3.0,1.3,,,
367,Metron Analysis,Το Βήμα,2018-02-23,2300,25.2,34.9,9.4,8.4,7.0,,2.5,3.0,1.9,,1.5,,
368,Pulse RC,Action 24,2018-01-29,1518,24.0,36.5,9.5,10.5,6.5,,2.5,2.5,1.0,1.0,1.0,,
369,Metron Analysis,Τα Νέα,2018-01-20,1000,24.9,35.4,6.6,9.8,6.9,,2.7,3.2,,2.7,1.9,,
370,Alco,Ραδιόφωνο 24/7,2018-01-18,1000,25.0,32.7,9.3,9.7,7.3,,2.9,2.6,4.0,,,,
371,Public Issue,,2018-01-18,1010,21.5,37.0,8.0,13.0,7.5,1.0,2.0,2.0,,,,,
372,Marc,Πρώτο ΘΕΜΑ,2018-01-13,1000,22.9,35.1,8.1,11.0,7.7,,2.9,3.4,2.2,1.5,,,
